Country Name,Country Code,Year,Year Code,Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS],Prevalence of current tobacco use (% of adults) [SH.PRV.SMOK],"Prevalence of current tobacco use, females (% of female adults) [SH.PRV.SMOK.FE]","Prevalence of current tobacco use, males (% of male adults) [SH.PRV.SMOK.MA]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age) [SH.ALC.PCAP.FE.LI]","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age) [SH.ALC.PCAP.MA.LI]"
East Asia & Pacific (IDA & IBRD countries),TEA,2018,YR2018,..,26.79941578,3.146426593,50.52516116,6.224374693,2.63183563,9.738992832
East Asia & Pacific (IDA & IBRD countries),TEA,2019,YR2019,8.514102225,..,..,..,..,..,..
Ecuador,ECU,2017,YR2017,..,..,..,..,..,..,..
Ecuador,ECU,2018,YR2018,..,..,..,..,4.2,2,6.43
Ecuador,ECU,2019,YR2019,5.5,..,..,..,..,..,..
"Egypt, Arab Rep.",EGY,2017,YR2017,..,..,..,..,..,..,..
"Egypt, Arab Rep.",EGY,2018,YR2018,..,21.4,0.4,42.3,0.36,0.097,0.62
"Egypt, Arab Rep.",EGY,2019,YR2019,17.2,..,..,..,..,..,..
El Salvador,SLV,2017,YR2017,..,..,..,..,..,..,..
El Salvador,SLV,2018,YR2018,..,12.7,2.5,22.8,3.89,1.67,6.57
El Salvador,SLV,2019,YR2019,8.8,..,..,..,..,..,..
Equatorial Guinea,GNQ,2017,YR2017,..,..,..,..,..,..,..
Equatorial Guinea,GNQ,2018,YR2018,..,..,..,..,7.23,3.27,10.07
Equatorial Guinea,GNQ,2019,YR2019,6,..,..,..,..,..,..
Eritrea,ERI,2017,YR2017,..,..,..,..,..,..,..
Eritrea,ERI,2018,YR2018,..,7.2,0.3,14.2,1.44,0.5,2.39
Eritrea,ERI,2019,YR2019,5.1,..,..,..,..,..,..
Estonia,EST,2017,YR2017,..,..,..,..,..,..,..
Estonia,EST,2018,YR2018,..,30.5,24.1,36.9,9.23,4.35,14.96
Estonia,EST,2019,YR2019,4.2,..,..,..,..,..,..
Eswatini,SWZ,2017,YR2017,..,..,..,..,..,..,..
Eswatini,SWZ,2018,YR2018,..,10.7,2.2,19.1,10.04,3.76,17.02
Eswatini,SWZ,2019,YR2019,4.5,..,..,..,..,..,..
Ethiopia,ETH,2017,YR2017,..,..,..,..,..,..,..
Ethiopia,ETH,2018,YR2018,..,4.6,0.9,8.3,2.36,0.83,3.91
Ethiopia,ETH,2019,YR2019,4.3,..,..,..,..,..,..
Euro area,EMU,2017,YR2017,..,..,..,..,..,..,..
Euro area,EMU,2018,YR2018,..,28.37003483,25.81670177,30.85378922,11.40251253,5.34210289,17.80818235
Euro area,EMU,2019,YR2019,6.761899919,..,..,..,..,..,..
Europe & Central Asia,ECS,2017,YR2017,..,..,..,..,..,..,..
Europe & Central Asia,ECS,2018,YR2018,..,26.88118825,19.7307694,33.78228045,9.764031941,4.390148083,15.60493435
Europe & Central Asia,ECS,2019,YR2019,6.687622963,..,..,..,..,..,..
Europe & Central Asia (excluding high income),ECA,2017,YR2017,..,..,..,..,..,..,..
Europe & Central Asia (excluding high income),ECA,2018,YR2018,..,26.9140464,13.80814414,39.93890794,7.680729612,3.184688714,12.74935021
Europe & Central Asia (excluding high income),ECA,2019,YR2019,7.215087542,..,..,..,..,..,..
Europe & Central Asia (IDA & IBRD countries),TEC,2017,YR2017,..,..,..,..,..,..,..
Europe & Central Asia (IDA & IBRD countries),TEC,2018,YR2018,..,26.92645988,14.72066873,39.01436232,8.053197891,3.403322811,13.28103702
Europe & Central Asia (IDA & IBRD countries),TEC,2019,YR2019,7.099250722,..,..,..,..,..,..
European Union,EUU,2017,YR2017,..,..,..,..,..,..,..
European Union,EUU,2018,YR2018,..,28.29444445,25.29211027,31.21664632,11.44471551,5.371239519,17.89387213
European Union,EUU,2019,YR2019,6.67189385,..,..,..,..,..,..
Faroe Islands,FRO,2017,YR2017,..,..,..,..,..,..,..
Faroe Islands,FRO,2018,YR2018,..,..,..,..,..,..,..
Faroe Islands,FRO,2019,YR2019,4.7,..,..,..,..,..,..
Fiji,FJI,2017,YR2017,..,..,..,..,..,..,..
Fiji,FJI,2018,YR2018,..,26.7,11.1,42.3,3.32,1.11,5.49
Fiji,FJI,2019,YR2019,14.7,..,..,..,..,..,..
Finland,FIN,2017,YR2017,..,..,..,..,..,..,..
Finland,FIN,2018,YR2018,..,19.7,18.3,21,10.78,5.05,16.77
Finland,FIN,2019,YR2019,5.6,..,..,..,..,..,..
Fragile and conflict affected situations,FCS,2017,YR2017,..,..,..,..,..,..,..
Fragile and conflict affected situations,FCS,2018,YR2018,..,13.98157465,4.683280223,23.05385674,4.358818954,1.703686786,7.058438336
Fragile and conflict affected situations,FCS,2019,YR2019,6.235320341,..,..,..,..,..,..
France,FRA,2017,YR2017,..,..,..,..,..,..,..
France,FRA,2018,YR2018,..,34.6,33.2,36,12.33,5.83,19.18
France,FRA,2019,YR2019,4.8,..,..,..,..,..,..
French Polynesia,PYF,2017,YR2017,..,..,..,..,..,..,..
French Polynesia,PYF,2018,YR2018,..,..,..,..,..,..,..
French Polynesia,PYF,2019,YR2019,19.5,..,..,..,..,..,..
Gabon,GAB,2017,YR2017,..,..,..,..,..,..,..
Gabon,GAB,2018,YR2018,..,..,..,..,8.74,3.97,13.17
Gabon,GAB,2019,YR2019,6,..,..,..,..,..,..
"Gambia, The",GMB,2017,YR2017,..,..,..,..,..,..,..
"Gambia, The",GMB,2018,YR2018,..,14.4,1.5,27.3,3.55,1.16,6.07
"Gambia, The",GMB,2019,YR2019,1.9,..,..,..,..,..,..
